                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 0.7037,                0.92422,                 1.2101,                0.55732,                 0.7111,                0.66459,                0.46912,                 1.1713,                 1.2635,                  1.749,                0.00472,                0.00472,                0.00472
                     83,                0.70246,                0.92336,                 1.2076,                0.55161,                0.71455,                0.65731,                0.46104,                  1.193,                 1.3354,                 1.8108,               0.004654,               0.004654,               0.004654
                     84,                0.69739,                0.92271,                 1.2055,                0.59074,                0.70426,                0.67863,                0.47591,                 1.1712,                 1.1719,                 1.8115,               0.004588,               0.004588,               0.004588
                     85,                0.69594,                0.91286,                 1.2036,                 0.6428,                0.66975,                    0.7,                0.48609,                 1.1954,                  1.164,                 1.7764,               0.004522,               0.004522,               0.004522
                     86,                0.68744,                 0.9085,                  1.199,                0.55264,                0.75298,                0.68062,                0.48256,                 1.1587,                 1.1021,                 1.7579,               0.004456,               0.004456,               0.004456
                     87,                0.68654,                0.90045,                 1.1986,                0.58268,                0.75526,                0.69404,                0.49098,                 1.1499,                 1.1886,                 1.7776,                0.00439,                0.00439,                0.00439
                     88,                0.69023,                0.90727,                 1.2014,                0.59259,                0.70013,                 0.6541,                 0.4568,                 1.2426,                 1.3751,                 1.8886,               0.004324,               0.004324,               0.004324
                     89,                0.68444,                0.90252,                 1.1936,                0.64504,                0.67503,                0.70462,                0.48647,                 1.2255,                 1.0633,                 1.9315,               0.004258,               0.004258,               0.004258
                     90,                0.69057,                 0.8961,                 1.1958,                0.62607,                 0.6483,                0.67928,                 0.4742,                 1.2015,                 1.2925,                 1.8323,               0.004192,               0.004192,               0.004192
                     91,                0.68453,                0.89477,                 1.1933,                0.61476,                0.69334,                0.68324,                0.48328,                 1.2083,                 1.4845,                 1.8987,               0.004126,               0.004126,               0.004126
                     92,                0.68147,                0.88753,                 1.1925,                0.64271,                0.71403,                0.71772,                0.51095,                 1.1595,                 1.1027,                 1.7514,                0.00406,                0.00406,                0.00406
                     93,                0.68103,                0.87782,                 1.1959,                0.61613,                0.68826,                0.69388,                0.49314,                 1.1926,                 1.1958,                 1.8696,               0.003994,               0.003994,               0.003994
                     94,                0.68025,                 0.8834,                 1.1924,                 0.6102,                0.72758,                0.70023,                0.50255,                 1.1377,                  1.177,                 1.7173,               0.003928,               0.003928,               0.003928
                     95,                0.67809,                0.87576,                 1.1876,                0.64412,                 0.6877,                0.70126,                0.50355,                 1.1324,                 1.0836,                 1.7586,               0.003862,               0.003862,               0.003862
                     96,                0.67213,                0.86596,                 1.1865,                0.64237,                0.69422,                0.71556,                0.49939,                 1.1839,                 1.1388,                  1.752,               0.003796,               0.003796,               0.003796
                     97,                0.66731,                0.86427,                 1.1792,                0.58296,                0.73746,                0.69122,                0.48742,                 1.1975,                 1.2353,                 1.8533,                0.00373,                0.00373,                0.00373
                     98,                0.67384,                0.87658,                 1.1807,                0.61816,                0.72819,                0.72726,                0.50718,                 1.1802,                 1.0211,                 1.8516,               0.003664,               0.003664,               0.003664
                     99,                0.67592,                0.86607,                 1.1804,                0.64562,                0.71372,                0.72237,                0.50885,                 1.1784,                 1.1022,                   1.81,               0.003598,               0.003598,               0.003598
                    100,                0.66256,                0.84656,                 1.1757,                0.62351,                0.72183,                0.70435,                0.50166,                 1.1822,                 1.1017,                 1.8417,               0.003532,               0.003532,               0.003532
                    101,                0.66925,                0.85121,                 1.1807,                0.64302,                0.72872,                0.72634,                0.52348,                 1.1092,                0.95456,                 1.6844,               0.003466,               0.003466,               0.003466
                    102,                0.66577,                 0.8522,                  1.175,                0.62614,                0.70844,                0.72204,                0.51353,                 1.1892,                 1.0035,                 1.8474,                 0.0034,                 0.0034,                 0.0034
                    103,                 0.6619,                0.84202,                 1.1746,                0.58369,                0.77448,                0.71589,                0.51272,                 1.1404,                 1.1589,                 1.7429,               0.003334,               0.003334,               0.003334
                    104,                0.65928,                0.84652,                 1.1756,                0.66485,                0.70751,                0.73205,                0.52782,                 1.1427,                 1.0137,                 1.7926,               0.003268,               0.003268,               0.003268
                    105,                0.66112,                0.84011,                 1.1754,                 0.6327,                0.73685,                0.73366,                0.51736,                 1.1851,                 1.1421,                 1.8339,               0.003202,               0.003202,               0.003202
                    106,                0.65698,                0.83018,                 1.1724,                0.62802,                0.68811,                0.70475,                0.50647,                 1.1732,                 1.2903,                 1.8438,               0.003136,               0.003136,               0.003136
                    107,                0.66099,                 0.8354,                 1.1745,                0.67771,                0.68493,                0.73903,                0.52764,                   1.17,                  1.072,                 1.8444,                0.00307,                0.00307,                0.00307
                    108,                0.64913,                0.82757,                  1.165,                0.66483,                0.66007,                0.70618,                0.50467,                 1.2119,                 1.4789,                 1.9548,               0.003004,               0.003004,               0.003004
                    109,                0.64875,                0.82933,                  1.165,                0.66681,                0.65586,                0.70245,                0.49343,                 1.2478,                 1.1363,                  1.934,               0.002938,               0.002938,               0.002938
                    110,                0.64359,                0.81721,                 1.1656,                0.64795,                0.71918,                0.72014,                0.52132,                 1.1314,                  1.117,                 1.7195,               0.002872,               0.002872,               0.002872
                    111,                0.65513,                 0.8267,                 1.1692,                0.62472,                0.73883,                0.72093,                0.51876,                 1.1486,                 1.2697,                 1.7724,               0.002806,               0.002806,               0.002806
                    112,                0.65231,                0.82188,                 1.1681,                0.63176,                0.74373,                 0.7235,                 0.5185,                 1.1407,                 1.1493,                 1.7709,                0.00274,                0.00274,                0.00274
                    113,                0.64305,                0.80433,                 1.1602,                0.65431,                0.73001,                 0.7289,                0.51946,                 1.1823,                 1.2627,                 1.8861,               0.002674,               0.002674,               0.002674
                    114,                0.64208,                0.80571,                 1.1619,                0.60697,                0.76904,                0.72733,                0.51777,                  1.184,                 1.0521,                 1.8303,               0.002608,               0.002608,               0.002608
                    115,                0.64646,                0.80938,                 1.1608,                0.72572,                0.66768,                0.73728,                0.52755,                 1.1684,                 1.0463,                 1.8707,               0.002542,               0.002542,               0.002542
                    116,                0.64096,                0.80559,                 1.1583,                0.64516,                0.73112,                0.73484,                0.52006,                 1.1904,                 1.0431,                 1.8963,               0.002476,               0.002476,               0.002476
                    117,                0.63285,                0.80225,                 1.1535,                0.65064,                0.71281,                0.70914,                0.50855,                 1.1857,                  1.236,                 1.8569,                0.00241,                0.00241,                0.00241
                    118,                0.63816,                 0.7955,                  1.155,                0.63594,                0.76861,                0.74901,                0.53736,                 1.1378,                0.99666,                 1.7923,               0.002344,               0.002344,               0.002344
                    119,                0.63313,                0.79663,                 1.1589,                0.67536,                 0.7266,                  0.742,                0.53844,                 1.1201,                 1.0975,                 1.7542,               0.002278,               0.002278,               0.002278
                    120,                0.62859,                0.78358,                 1.1521,                0.67359,                0.70074,                0.71598,                0.51568,                 1.1612,                 1.2765,                 1.7869,               0.002212,               0.002212,               0.002212
                    121,                0.62187,                0.78154,                 1.1434,                0.68699,                0.73614,                0.75362,                0.53892,                  1.146,                 1.0559,                 1.8057,               0.002146,               0.002146,               0.002146
                    122,                0.63592,                0.78645,                 1.1529,                0.63921,                0.76654,                0.74948,                0.54833,                 1.1254,                  1.081,                 1.7299,                0.00208,                0.00208,                0.00208
                    123,                0.62886,                0.77816,                 1.1468,                0.64644,                0.78749,                0.76162,                0.55082,                 1.1204,                 1.0036,                 1.6987,               0.002014,               0.002014,               0.002014
                    124,                0.62724,                 0.7745,                 1.1431,                0.61787,                  0.772,                0.73699,                0.54167,                 1.0995,                 1.0622,                 1.6873,               0.001948,               0.001948,               0.001948
                    125,                0.62623,                0.77065,                 1.1407,                0.65424,                0.73325,                 0.7419,                0.53416,                 1.1695,                  1.117,                 1.8507,               0.001882,               0.001882,               0.001882
                    126,                 0.6244,                0.76757,                 1.1397,                0.68615,                0.71518,                0.74934,                0.54197,                 1.1008,                 1.0242,                  1.694,               0.001816,               0.001816,               0.001816
                    127,                0.61741,                0.76612,                 1.1399,                0.66939,                0.75208,                0.74595,                0.54287,                 1.1406,                 1.0449,                  1.767,                0.00175,                0.00175,                0.00175
                    128,                0.61136,                0.75736,                  1.134,                0.68246,                0.73949,                0.75381,                0.54441,                 1.1379,                 1.0705,                 1.7365,               0.001684,               0.001684,               0.001684
                    129,                0.62403,                0.76477,                 1.1433,                0.66339,                0.78036,                 0.7622,                0.55143,                  1.139,                 0.9953,                 1.7772,               0.001618,               0.001618,               0.001618
                    130,                0.61722,                0.75601,                 1.1374,                0.67641,                0.74662,                0.75169,                0.54798,                 1.1142,                 1.0634,                 1.7201,               0.001552,               0.001552,               0.001552
                    131,                0.61605,                0.75515,                 1.1357,                 0.6919,                0.72414,                0.75093,                0.54681,                 1.1476,                 1.0294,                  1.792,               0.001486,               0.001486,               0.001486
                    132,                 0.6067,                0.73962,                 1.1348,                0.66235,                0.74648,                0.74514,                0.54347,                 1.1436,                 1.0894,                 1.8437,                0.00142,                0.00142,                0.00142
                    133,                0.60994,                0.74846,                 1.1348,                 0.6475,                 0.7472,                0.74166,                0.53449,                 1.1545,                 1.1681,                 1.7924,               0.001354,               0.001354,               0.001354
                    134,                0.61154,                0.74547,                 1.1396,                 0.6716,                0.72281,                0.74227,                0.53602,                  1.143,                 1.1764,                 1.8107,               0.001288,               0.001288,               0.001288
                    135,                0.61403,                0.73761,                 1.1326,                0.68807,                0.71396,                0.75019,                0.54177,                  1.151,                 1.0956,                 1.8348,               0.001222,               0.001222,               0.001222
                    136,                0.61203,                0.75162,                 1.1291,                0.70852,                0.72317,                0.75514,                0.54619,                 1.1563,                 1.0789,                 1.8502,               0.001156,               0.001156,               0.001156
